Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
1/1/09,48,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,.,19,10,48,33
1/2/09,55,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,18,.,34,19,55,37
1/3/09,69,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,19,.,10,21,69,28
1/4/09,58,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,8,.,9,13,58,17
1/5/09,60,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,9,.,14,10,60,22
1/6/09,54,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,14,.,11,8,54,20
1/7/09,46,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,.,11,11,46,25
1/8/09,60,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,9,.,13,12,60,28
1/9/09,67,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,.,23,19,67,39
1/10/09,60,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,11,.,16,17,60,33
1/11/09,43,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,6,.,16,10,43,16
1/12/09,62,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,.,37,15,62,32
1/13/09,55,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,6,.,29,15,55,23
1/14/09,48,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,6,.,41,15,48,31
1/15/09,35,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,6,.,16,11,35,13
1/16/09,173,SO2,LOCATED ON OLD RAIL BED 1100 METERS NORTH OF POWERPLANT,18-043-0007,AQS,8,.,173,8,42,38
1/17/09,52,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,.,51,18,52,27
1/18/09,42,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,6,.,16,11,42,24
1/19/09,52,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,8,.,36,12,52,22
1/20/09,105,SO2,Fire Arms Training,21-111-1041,AQS,8,.,105,13,60,34
1/21/09,69,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,8,.,33,21,69,40
1/22/09,65,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,.,39,23,65,47
1/23/09,82,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,.,60,24,82,45
1/24/09,58,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,8,.,21,10,58,20
1/25/09,62,PM2.5,SHEPHERDSVILLE,21-029-0006,AQS,8,.,36,15,62,18
1/26/09,59,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,8,.,41,16,59,22
1/27/09,62,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,.,27,10,62,26
1/28/09,57,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,.,13,12,57,28
1/29/09,68,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,8,.,11,18,68,24
1/30/09,66,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,17,.,11,15,66,45
1/31/09,86,PM2.5,CANNONS LANE,21-111-0067,AQS,20,.,65,26,86,63
2/1/09,46,SO2,Fire Arms Training,21-111-1041,AQS,10,.,46,15,41,44
2/2/09,50,NO2,,21-111-1021,AQS,10,.,9,8,28,50
2/3/09,65,NO2,,21-111-1021,AQS,9,.,9,13,49,65
2/4/09,37,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,8,.,14,10,37,19
2/5/09,127,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,.,127,13,47,53
2/6/09,54,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,14,.,40,24,54,52
2/7/09,42,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,14,.,36,18,42,16
2/8/09,55,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,.,19,19,55,36
2/9/09,71,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,11,.,37,30,71,40
2/10/09,49,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,9,.,19,14,49,25
2/11/09,90,SO2,Watson Lane,21-111-0051,AQS,8,.,90,13,35,19
2/12/09,47,NO2,,21-111-1021,AQS,14,.,21,13,40,47
2/13/09,45,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,14,.,10,14,45,41
2/14/09,48,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,.,13,13,48,38
2/15/09,38,PM2.5,,18-175-9000,AQS,8,.,20,8,38,25
2/16/09,58,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,.,14,13,58,40
2/17/09,66,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,.,66,18,55,42
2/18/09,48,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,.,20,16,48,18
2/19/09,39,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,13,.,9,9,39,19
2/20/09,49,SO2,Watson Lane,21-111-0051,AQS,13,.,49,11,40,43
2/21/09,71,SO2,Watson Lane,21-111-0051,AQS,13,.,71,13,53,35
2/22/09,52,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,9,.,11,11,52,23
2/23/09,91,SO2,Fire Arms Training,21-111-1041,AQS,10,.,91,13,52,35
2/24/09,66,PM2.5,CANNONS LANE,21-111-0067,AQS,9,.,14,19,66,44
2/25/09,69,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,.,51,30,69,39
2/26/09,79,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,.,17,25,79,38
2/27/09,43,PM2.5,SHEPHERDSVILLE,21-029-0006,AQS,11,.,13,10,43,16
2/28/09,39,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,.,14,9,39,7
3/1/09,34,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,34,11,8,34,5
3/2/09,32,Ozone,BUCKNER,21-185-0004,AQS,10,32,13,9,27,10
3/3/09,66,SO2,LOCATED ON OLD RAIL BED 1100 METERS NORTH OF POWERPLANT,18-043-0007,AQS,10,32,66,13,40,34
3/4/09,89,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,16,42,89,17,45,44
3/5/09,56,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,17,48,36,24,56,37
3/6/09,64,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,47,17,27,64,19
